force_x_N,force_y_N,force_z_N,vibration_x_g,vibration_y_g,vibration_z_g,ae_rms_V
-0.525,0.111,-0.623,-0.04,-0.037,-0.035,-0.004
-0.575,0.135,-0.668,-0.044,-0.047,-0.026,-0.005
-0.624,0.159,-0.695,-0.022,-0.035,-0.024,-0.004
-0.697,0.154,-0.788,-0.022,-0.022,-0.041,-0.005
-0.719,0.152,-0.891,-0.032,-0.01,-0.024,-0.005
-0.772,0.088,-0.961,-0.048,-0.038,-0.045,-0.005
-0.796,0.043,-1.03,0.007,0.002,-0.002,-0.004
-0.789,0.107,-1.048,-0.027,-0.021,-0.02,-0.005
-0.842,0.134,-1.071,0.01,0.016,0.024,-0.004
-0.861,0.138,-1.063,-0.032,-0.034,-0.03,-0.004
-0.917,0.08,-1.031,-0.011,-0.014,-0.014,-0.004
-0.968,0.084,-0.982,0.076,0.067,0.069,-0.005
-1.019,0.096,-0.905,-0.082,-0.084,-0.084,-0.004
-1.053,0.082,-0.829,0.037,0.043,0.041,-0.004
-1.055,0.087,-0.751,0.014,0.022,0.011,-0.005
-1.036,0.068,-0.636,-0.048,-0.055,-0.046,-0.004
-1.002,0.075,-0.508,0.025,0.015,0.034,-0.005
-1.018,0.071,-0.448,-0.035,-0.051,-0.059,-0.005
-0.975,0.145,-0.33,-0.095,-0.106,-0.103,-0.005
-0.935,0.138,-0.21,-0.032,-0.033,-0.026,-0.005
-0.869,0.115,-0.11,-0.043,-0.047,-0.058,-0.004
-0.791,0.086,-0.012,-0.089,-0.102,-0.098,-0.004
-0.73,0.085,0.078,-0.026,-0.025,-0.023,-0.005
-0.645,0.116,0.211,-0.049,-0.054,-0.061,-0.005
-0.555,0.122,0.345,0.014,0.002,-0.003,-0.005
-0.493,0.109,0.47,-0.017,-0.042,-0.034,-0.005
-0.411,0.048,0.604,0.011,-0,-0.001,-0.004
-0.397,0.017,0.749,0.008,-0.003,-0,-0.004
-0.359,0.124,0.935,-0.009,-0.016,-0.023,-0.004
-0.331,0.195,1.074,0.007,-0,-0.009,-0.004
-0.291,0.23,1.268,-0.031,-0.031,-0.043,-0.005
-0.243,0.214,1.438,-0.03,-0.058,-0.073,-0.005
-0.214,0.214,1.617,-0.008,-0.028,-0.027,-0.004
-0.222,0.244,1.794,-0.018,-0.032,-0.02,-0.005
-0.269,0.317,1.956,-0.096,-0.116,-0.129,-0.004
-0.291,0.41,2.187,-0.024,-0.045,-0.047,-0.004
-0.318,0.369,2.311,-0.047,-0.046,-0.049,-0.005
-0.319,0.349,2.464,-0.052,-0.057,-0.07,-0.005
-0.374,0.376,2.569,-0.006,-0.022,-0.031,-0.004
-0.415,0.491,2.681,-0.04,-0.056,-0.068,-0.005
-0.469,0.521,2.781,-0.05,-0.068,-0.076,-0.004
-0.503,0.544,2.887,0.044,0.024,0.023,-0.004
-0.591,0.538,2.936,0.013,-0.018,-0.031,-0.005
-0.707,0.519,3.006,-0.018,-0.035,-0.045,-0.005
-0.792,0.515,3.096,-0.036,-0.044,-0.041,-0.004
-0.905,0.502,3.153,0.014,0.026,-0.001,-0.005
-1.011,0.469,3.22,-0.056,-0.061,-0.074,-0.004
-1.103,0.411,3.253,-0.047,-0.051,-0.049,-0.004
-1.176,0.359,3.308,-0.009,-0.036,-0.043,-0.005
-1.275,0.426,3.325,-0.06,-0.078,-0.097,-0.005
-1.34,0.457,3.364,-0.033,-0.061,-0.057,-0.005
-1.374,0.473,3.411,-0.012,-0.029,-0.04,-0.004
-1.461,0.387,3.336,-0.085,-0.092,-0.1,-0.004
-1.524,0.37,3.282,-0.033,-0.04,-0.041,-0.004
-1.57,0.317,3.159,-0.005,-0.022,-0.029,-0.004
-1.613,0.237,3.06,-0.038,-0.027,-0.045,-0.005
-1.676,0.178,2.922,-0.051,-0.071,-0.077,-0.004
-1.714,0.133,2.752,-0.003,-0.013,-0.022,-0.004
-1.787,0.029,2.586,-0.002,-0.018,-0.018,-0.004
-1.837,-0.066,2.435,-0.039,-0.052,-0.046,-0.004
-1.853,-0.093,2.214,0.021,0.004,-0.005,-0.004
-1.836,-0.137,2.044,-0.011,-0.003,-0.013,-0.004
-1.829,-0.127,1.83,-0.092,-0.111,-0.115,-0.004
-1.807,-0.164,1.589,0.052,0.028,0.038,-0.004
-1.811,-0.229,1.382,-0.052,-0.051,-0.046,-0.004
-1.769,-0.2,1.246,-0.059,-0.064,-0.077,-0.004
-1.754,-0.158,1.008,-0.043,-0.061,-0.05,-0.004
-1.75,-0.141,0.838,-0.038,-0.032,-0.024,-0.004
-1.739,-0.243,0.693,-0.044,-0.055,-0.074,-0.004
-1.722,-0.275,0.529,-0.042,-0.054,-0.05,-0.004
-1.693,-0.29,0.371,-0.019,-0.017,-0.004,-0.004
-1.638,-0.265,0.234,-0.052,-0.063,-0.076,-0.003
-1.613,-0.268,0.102,-0.025,-0.038,-0.027,-0.003
-1.563,-0.27,-0.016,0.022,0.01,0.023,-0.003
-1.542,-0.223,-0.126,-0.057,-0.042,-0.054,-0.003
-1.515,-0.21,-0.273,-0.028,-0.026,-0.01,-0.003
-1.426,-0.211,-0.381,0.039,0.038,0.042,-0.003
-1.354,-0.172,-0.466,-0.042,-0.051,-0.052,-0.003
-1.271,-0.075,-0.575,-0.045,-0.031,-0.023,-0.003
-1.161,-0.015,-0.677,-0.017,-0.027,-0.033,-0.003
-1.064,-0.015,-0.744,-0.041,-0.038,-0.05,-0.003
-0.984,-0.01,-0.792,-0.067,-0.055,-0.045,-0.003
-0.917,-0,-0.846,-0.04,-0.044,-0.041,-0.003
-0.846,0.067,-0.853,-0.04,-0.04,-0.043,-0.003
-0.781,0.104,-0.845,-0.081,-0.08,-0.063,-0.003
-0.716,0.116,-0.816,-0.026,-0.024,-0.031,-0.003
-0.631,0.056,-0.78,0.002,-0.001,0.005,-0.003
-0.509,0.098,-0.703,-0.073,-0.057,-0.07,-0.003
-0.427,0.176,-0.575,0.021,0.017,0.003,-0.003
-0.397,0.134,-0.444,-0.041,-0.021,-0.018,-0.003
-0.341,0.079,-0.332,-0.03,-0.03,-0.014,-0.003
-0.313,0.044,-0.253,0.003,0,-0.012,-0.003
-0.291,0.035,-0.163,-0.01,-0.023,-0.012,-0.003
-0.26,-0.028,-0.058,-0.073,-0.059,-0.077,-0.003
-0.193,-0.037,0.086,-0.026,-0.036,-0.047,-0.002
-0.165,-0.068,0.174,-0.043,-0.031,-0.031,-0.002
-0.152,-0.101,0.268,-0.091,-0.089,-0.101,-0.002
-0.152,-0.144,0.367,-0.013,-0.009,-0.019,-0.002
-0.19,-0.23,0.517,-0.052,-0.05,-0.042,-0.002
-0.268,-0.234,0.625,-0.056,-0.056,-0.063,-0.002
-0.327,-0.262,0.738,-0.032,-0.048,-0.051,-0.002
-0.391,-0.296,0.866,-0.056,-0.068,-0.07,-0.002
-0.489,-0.327,1.023,0.015,0.013,-0.011,-0.002
-0.586,-0.331,1.118,-0.086,-0.072,-0.09,-0.002
-0.635,-0.283,1.254,0.01,0.014,0.007,-0.002
-0.693,-0.228,1.36,-0.02,-0.044,-0.059,-0.002
-0.781,-0.242,1.482,-0.036,-0.048,-0.055,-0.002
-0.852,-0.234,1.595,-0.018,-0.025,-0.029,-0.002
-0.9,-0.241,1.718,-0.008,-0.03,-0.044,-0.002
-0.961,-0.245,1.841,-0.114,-0.121,-0.129,-0.002
-0.981,-0.218,1.939,0.011,0.018,0.004,-0.002
-0.985,-0.194,2.041,-0.074,-0.078,-0.102,-0.002
-1.008,-0.171,2.134,-0.074,-0.07,-0.078,-0.002
-1.022,-0.147,2.242,-0.016,-0.028,-0.038,-0.002
-1.01,-0.131,2.318,-0.039,-0.069,-0.076,-0.002
-0.997,-0.077,2.386,-0.02,-0.045,-0.036,-0.002
-1.006,-0.011,2.451,-0.048,-0.057,-0.072,-0.002
-1.002,0.073,2.477,-0.058,-0.062,-0.086,-0.002
-0.963,0.114,2.518,-0,0.013,0.006,-0.002
-0.939,0.137,2.573,-0.046,-0.037,-0.063,-0.002
-0.931,0.157,2.614,-0.037,-0.047,-0.061,-0.002
-0.899,0.219,2.642,-0.062,-0.085,-0.074,-0.002
-0.835,0.297,2.699,-0.058,-0.086,-0.092,-0.002
-0.846,0.329,2.711,0.008,-0.016,-0.014,-0.002
-0.831,0.355,2.692,-0.031,-0.046,-0.036,-0.002
-0.799,0.362,2.696,0.006,0.008,-0.011,-0.002
-0.766,0.35,2.693,-0.017,-0.013,-0.018,-0.002
-0.73,0.367,2.695,-0.036,-0.029,-0.037,-0.002
-0.678,0.371,2.667,0.04,0.034,0.024,-0.002
-0.626,0.405,2.649,-0.032,-0.042,-0.038,-0.002
-0.585,0.444,2.574,0.008,-0.022,-0.016,-0.002
-0.568,0.438,2.514,-0.015,-0.041,-0.045,-0.002
-0.573,0.415,2.468,-0.035,-0.048,-0.035,-0.002
-0.575,0.409,2.392,0.014,0.002,0.008,-0.002
-0.567,0.431,2.295,-0.08,-0.081,-0.085,-0.002
-0.557,0.399,2.195,-0.024,-0.008,-0.006,-0.002
-0.56,0.368,2.133,-0.002,-0.008,-0.004,-0.002
-0.547,0.32,2.032,-0.025,-0.043,-0.034,-0.002
-0.493,0.245,1.91,0.008,-0.006,0.01,-0.002
-0.478,0.146,1.792,-0.035,-0.058,-0.037,-0.002
-0.404,0.108,1.691,-0.021,-0.036,-0.015,-0.002
-0.356,0.08,1.554,0.026,0.023,0.036,-0.002
-0.289,0.075,1.429,-0.031,-0.039,-0.042,-0.002
-0.191,0.057,1.32,0.02,-0.043,-0.016,-0.002
-0.004,-0.097,1.235,-0.013,-0.055,-0.072,-0.002
0.363,-0.296,1.284,-0.037,0.036,-0.032,-0.002
1.071,-0.55,1.361,-0.055,-0.003,-0,-0.002
1.947,-0.896,1.239,0.011,0.01,0.068,-0.002
2.651,-1.174,1.168,-0.026,-0.029,-0.005,-0.002
3.072,-0.914,1.357,-0.004,-0.04,0.03,-0.002
3.169,-0.25,1.392,0.038,-0.005,0.007,-0.002
2.871,0.101,1.449,-0.014,-0.022,-0.069,-0.002
2.38,-0.185,1.545,-0.052,-0.035,-0.026,-0.002
2.281,-0.67,1.509,0.021,-0.018,0.028,-0.002
2.276,-0.783,1.458,-0.019,-0.009,0.004,-0.002
2.208,-0.115,1.479,-0.034,-0.073,-0.035,-0.002
2.394,0.615,1.26,0.06,0.015,0.036,-0.001
2.644,0.483,1.111,-0.055,-0.061,-0.086,-0.001
2.712,-0.289,1.285,0.003,-0.02,-0.057,-0.001
2.94,-0.649,1.212,0.033,0.017,0.045,-0.001
3.28,-0.284,1.216,-0.125,-0.029,-0.003,-0.001
3.185,0.23,1.359,-0.031,-0.041,0.001,-0
2.964,0.686,1.209,0.014,0.003,0.02,0
2.939,0.509,1.12,-0.076,-0.014,-0.005,0
2.81,0.351,1.374,0.002,-0.002,-0.052,0
2.325,0.828,1.419,0.05,-0.074,-0.073,0
1.681,1.721,1.449,-0.099,-0.106,-0.06,0.001
0.998,2.26,1.759,-0.034,-0.013,-0.03,0.001
0.391,2.234,1.726,0.004,-0.017,-0.017,0.001
-0.011,1.882,1.591,-0.058,-0.047,-0.014,0.001
-0.195,1.925,1.717,-0.069,-0.047,-0.111,0.002
-0.295,2.591,1.743,-0.003,-0.034,-0.049,0.002
-0.427,3.209,1.56,-0.009,-0.018,-0.011,0.002
-0.329,3.114,1.535,-0.113,-0.04,-0.099,0.002
-0.082,2.346,1.431,-0.018,0.041,0.073,0.002
-0.043,1.851,1.103,-0.005,-0.031,0.033,0.002
-0.293,2.28,0.905,-0.041,-0.053,-0.082,0.003
-0.523,3.058,0.869,-0.012,-0.003,0.015,0.003
-0.782,3.116,0.825,-0.009,-0.113,-0.088,0.003
-0.989,2.298,0.83,0.004,-0.058,-0.138,0.003
-1.065,1.731,0.879,0.004,0.034,0.019,0.003
-1.086,1.934,0.985,-0.077,-0.071,-0.057,0.003
-1.358,2.559,1.131,0.015,-0.052,-0.06,0.004
-1.529,2.698,1.365,-0.027,-0.001,-0.001,0.004
-1.606,1.924,1.641,-0.077,-0.125,-0.119,0.004
-1.749,0.93,1.797,0.029,0.025,-0.018,0.004
-1.71,0.478,1.863,-0.052,-0.027,-0.055,0.004
-1.499,0.781,1.965,-0.07,-0.033,-0.068,0.004
-1.355,0.935,1.974,0.002,0.009,0.037,0.005
-1.188,0.595,1.72,-0.039,-0.008,0.013,0.005
-0.88,0.208,1.369,0.031,-0.047,-0.055,0.005
-0.688,0.085,1.249,0.029,-0.04,0.008,0.005
-0.815,0.376,1.098,0.025,-0.075,-0.076,0.005
-0.923,0.943,0.9,0.058,-0.029,-0.094,0.005
-0.916,1.361,0.881,-0.075,-0.099,-0.069,0.005
-0.938,1.225,0.959,-0.031,0.021,0.003,0.005
-0.86,0.888,0.988,-0.009,-0.048,-0.093,0.005
-0.597,0.81,1.017,-0.038,-0.034,0.005,0.006
-0.405,1.009,1.145,0.034,0.032,0.027,0.005
-0.442,1.193,1.306,0.02,-0.023,-0.071,0.005
-0.428,1.15,1.415,-0.031,-0.098,-0.032,0.006
-0.416,0.981,1.466,0.055,0.065,0.056,0.006
-0.472,0.848,1.441,-0.037,-0.018,-0.012,0.006
-0.431,0.933,1.229,-0.064,-0.058,0.013,0.006
-0.085,1.483,0.989,0.025,-0.025,-0.043,0.006
0.108,2.01,0.807,0.03,0.01,-0.013,0.006
0.286,2.376,0.625,-0.029,-0.097,-0.058,0.006
0.596,2.688,0.298,0.09,0.013,-0.074,0.006
0.978,2.86,0.108,0.012,0.013,0.006,0.006
1.095,2.689,0.054,-0.122,-0.091,-0.04,0.007
1.182,2.656,-0.061,0.049,0.002,-0.026,0.006
1.285,2.775,-0.234,-0.006,0.037,0.061,0.006
1.293,2.66,-0.304,-0.098,-0.061,-0.032,0.006
1.36,2.268,-0.332,0.061,0.033,-0.028,0.007
1.533,1.929,-0.416,0.07,0.052,0.07,0.007
1.669,1.885,-0.554,-0.057,-0.039,-0.021,0.007
1.54,2.1,-0.642,0.024,-0.01,-0.006,0.007
1.478,2.421,-0.716,0.031,-0,0.073,0.007
1.465,2.577,-0.832,-0.014,-0.038,-0.029,0.007
1.413,2.307,-0.885,0.044,0.033,-0.003,0.007
1.472,2.056,-0.927,0.021,0.007,0.022,0.007
1.653,2.19,-0.911,0.01,0,-0.068,0.007
1.693,2.387,-0.769,-0.046,-0.009,-0.044,0.007
1.668,2.178,-0.656,0.005,0.048,0.102,0.007
1.663,1.662,-0.683,0.048,0.036,0.017,0.007
1.609,1.104,-0.612,-0.041,-0.026,-0.005,0.007
1.331,0.642,-0.503,-0.006,-0.011,0.062,0.007
1.005,0.488,-0.524,0.119,0.053,0.016,0.007
0.644,0.487,-0.408,-0.046,-0.064,-0.064,0.007
0.301,0.284,-0.341,0,0.011,0.032,0.007
0.181,-0.004,-0.408,0.058,0.064,0.036,0.007
0.205,-0.125,-0.351,-0.087,-0.077,-0.037,0.007
0.2,0.177,-0.255,0.028,0.024,0.043,0.007
0.115,0.462,-0.274,0.095,0.068,0.035,0.008
0.065,0.48,-0.127,-0.094,-0.105,-0.082,0.008
0.013,0.342,0.151,0.019,-0.006,-0.045,0.007
0.004,0.275,0.367,0.098,0.113,0.069,0.007
0.088,0.238,0.544,-0.104,-0.034,0.005,0.007
0.149,0.323,0.786,-0.005,-0.013,-0.024,0.008
0.129,0.284,1.001,0.107,0.046,0.037,0.007
0.193,-0.11,1.188,-0.036,-0.029,-0.023,0.007
0.565,-0.435,1.547,-0.005,0.013,-0.099,0.007
1.22,-0.462,1.774,0.076,0.058,0.035,0.007
1.955,-0.386,1.91,-0.065,-0.051,0.002,0.007
2.642,-0.494,2.236,-0.027,-0.075,-0.112,0.008
3.37,-0.43,2.74,0.055,0.106,0.073,0.008
4.167,-0.035,3.239,-0.133,0.006,-0.051,0.008
4.863,0.135,3.493,-0.024,0.081,0.044,0.008
5.326,-0.168,3.61,0.059,-0.074,0.012,0.008
5.193,-0.131,3.822,0.059,0.009,0.058,0.008
4.467,1.14,4.409,-0.023,-0.024,-0.081,0.008
3.469,2.326,4.406,0.072,-0.017,-0.004,0.008
2.411,2.028,4.263,0.078,0.045,-0.009,0.009
1.636,0.182,4.505,-0.062,-0.063,-0.123,0.009
2.085,-1.055,4.683,-0.033,0.063,0.04,0.009
3.162,-0.716,4.542,0.045,0.033,0.026,0.009
3.929,0.565,4.436,-0.084,-0.115,-0.082,0.009
4.461,1.011,4.219,0.014,-0.026,-0.027,0.01
4.76,0.195,4.429,0.032,0.101,0.064,0.01
4.537,-0.324,4.839,-0.154,-0.128,-0.154,0.01
3.944,0.237,4.791,0.027,0.045,0.068,0.01
2.983,1.14,4.761,-0.058,-0.053,0.048,0.01
1.874,1.735,5.179,-0.033,-0.005,-0.035,0.011
1.109,1.858,4.949,0.005,0.005,-0.075,0.011
0.917,1.634,4.572,0.028,0.084,0.063,0.011
0.793,1.307,4.637,0.039,-0.104,-0.164,0.012
0.201,1.842,4.658,0.008,-0.13,-0.131,0.012
-0.614,2.846,4.646,-0.045,-0.007,0.04,0.012
-1.073,3.208,4.46,-0.056,-0.051,-0.059,0.012
-1.147,2.107,4.149,-0.153,-0.118,-0.087,0.013
-1.04,0.783,3.745,0.001,-0.013,0.052,0.013
-0.734,1.088,3.616,-0.095,0.017,-0.072,0.014
-0.33,2.779,3.167,-0.112,-0.062,-0.07,0.014
0.105,3.587,2.685,0.039,0.053,0.064,0.014
0.181,2.318,2.52,0.005,-0.098,-0.055,0.014
0.144,0.896,2.409,-0.117,-0.091,0.017,0.015
-0.349,0.976,1.993,0.074,-0.069,0.004,0.015
-1.207,2.484,1.77,0.059,-0.061,-0.08,0.015
-1.902,3.104,2.108,-0.081,-0.189,-0.138,0.015
-2.161,1.956,2.471,0.053,-0.006,-0.08,0.016
-2.179,0.495,2.559,0.003,-0.006,-0.099,0.016
-1.802,0.196,2.583,-0.201,-0.057,-0.046,0.016
-1.36,0.959,2.765,-0.029,-0.031,-0.002,0.016
-1.23,1.387,3.138,-0.043,-0.073,0.012,0.017
-1.283,0.859,3.191,-0.138,-0.151,-0.037,0.017
-1.272,-0.006,2.745,-0.001,-0.015,-0.043,0.017
-1.203,-0.666,2.531,0.019,-0.04,0.016,0.017
-1.129,-0.54,2.429,-0.112,-0.131,-0.092,0.018
-0.94,0.316,2.138,-0.006,-0.001,-0.063,0.018
-0.708,1.276,1.501,0.008,-0.003,0.075,0.018
-0.351,1.387,1.018,-0.081,-0.155,-0.09,0.018
-0.194,0.976,0.94,0.059,-0.148,-0.171,0.018
-0.263,0.806,1.098,0.082,-0.045,0.038,0.018
-0.678,1.229,1.116,-0.109,-0.162,-0.175,0.018
-0.927,1.765,1.171,-0.035,-0.074,-0.167,0.019
-0.943,1.448,1.637,-0.106,-0.037,0.075,0.019
-0.723,0.606,2.16,-0.197,-0.079,-0.058,0.019
-0.436,-0.011,2.208,-0.064,-0.028,-0.062,0.019
0.09,0.145,1.924,-0.064,-0.02,0.101,0.019
0.5,0.71,1.935,-0.048,-0.105,-0.113,0.02
0.364,0.943,2.035,-0,-0.171,-0.149,0.02
-0.003,0.941,1.859,-0.093,-0.187,-0.052,0.02
-0.24,1.253,1.23,0.079,0.021,-0.011,0.02
-0.257,1.559,0.835,0.051,0.056,0.044,0.02
0.041,1.761,0.642,-0.114,-0.091,-0.013,0.02
0.558,2.097,0.304,0.127,0.097,-0.038,0.02
1.036,2.523,-0.185,-0.063,-0.056,-0.101,0.021
1.461,2.551,-0.462,-0.029,-0.033,-0.019,0.021
1.789,2.174,-0.553,0.108,0.028,-0.071,0.021
1.841,1.513,-0.448,-0.092,-0.051,0.023,0.021
1.57,1.012,-0.48,-0.068,-0.014,0.102,0.021
1.15,1.027,-0.806,0.104,0.09,0.059,0.021
0.887,1.24,-0.995,-0.075,-0.032,0.047,0.021
0.807,1.355,-1.04,0.07,0.093,0.065,0.022
0.831,1.289,-1.269,0.131,0.06,-0.066,0.022
1.084,1.552,-1.607,-0.058,-0.056,-0.021,0.022
1.249,2.288,-1.788,0.108,0.045,0.007,0.022
1.073,2.898,-1.765,0.001,-0.061,-0.068,0.022
0.695,3.061,-1.598,-0.104,-0.062,0.036,0.022
0.375,2.79,-1.838,0.034,0.018,-0.069,0.022
0.187,2.167,-1.915,-0.019,0.036,-0.054,0.022
0.11,1.585,-1.679,-0.069,-0.002,0.005,0.022
0.04,1.631,-1.55,0.074,0.102,-0.051,0.022
-0.121,1.789,-1.632,0.033,0.075,0.089,0.022
-0.393,1.557,-1.787,-0.012,0.042,0.146,0.022
-0.688,1.097,-2.013,0.135,0.051,0.035,0.022
-1.154,0.686,-2.077,-0.021,-0.045,0.062,0.023
-1.744,0.798,-2.154,0.05,-0.001,0.039,0.023
-2.287,1.196,-2.505,0.064,0.012,-0.132,0.023
-2.481,1.448,-2.571,-0.047,-0.023,-0.048,0.023
-2.322,1.535,-2.392,0.014,0.078,0.017,0.023
-1.928,1.417,-2.415,-0.003,0.063,-0.07,0.023
-1.414,1.547,-2.349,-0.026,0.049,0.127,0.023
-0.954,1.833,-2.041,0.08,0.058,0.04,0.023
-0.885,1.872,-1.827,0.072,0.031,-0.029,0.023
-1.045,1.198,-1.36,0.104,-0.032,0.045,0.023
-1.119,0.39,-0.954,0.197,0.098,-0.06,0.023
-0.519,0.155,-0.365,-0.04,0.199,-0.016,0.023
0.929,0.03,0.107,-0.137,0.047,0.126,0.023
2.539,-0.288,0.182,-0.007,0.174,0.145,0.023
3.597,-0.886,0.423,0.069,-0.044,0.077,0.023
4.219,-0.735,0.78,0.136,-0.058,0.109,0.023
4.41,0.379,1.196,0.246,-0.008,-0.246,0.023
4.411,0.905,2.271,0.065,0.025,-0.162,0.023
5.127,-0.014,3.042,-0.201,0.04,-0.131,0.024
7.01,-1.664,3.46,-0.049,0.344,0.244,0.024
8.992,-2.008,3.773,-0.078,-0.087,0.263,0.024
9.669,0.029,3.644,0.107,0.018,0.154,0.024
8.899,2.569,4.245,0.101,0,-0.04,0.025
7.01,2.961,4.969,0.173,0.094,0.076,0.025
4.86,0.735,4.952,0.225,-0.058,-0.342,0.025
3.245,-2.468,5.192,0.087,0.046,0.026,0.026
3.379,-3.408,5.989,-0.083,0.158,0.278,0.027
4.893,-1.675,5.768,-0.045,-0.002,-0.016,0.027
6.284,0.475,5.411,0.003,0.119,0.26,0.028
7.562,0.687,5.175,0.195,0.062,0.075,0.028
8.522,-0.635,5.4,0.068,-0.058,-0.214,0.029
7.586,-0.753,6.438,-0.023,-0.021,-0.007,0.03
5.35,1.669,7.123,0.194,0.068,0.064,0.031
3.146,3.585,6.86,-0.155,-0.014,0.08,0.032
1.371,2.916,7.008,-0.164,0.101,0.24,0.033
0.351,0.823,6.932,0.15,0.188,0.053,0.034
0.403,0.802,6.288,0.006,0.123,0.051,0.034
0.594,3.037,6.294,0.137,-0.029,-0.019,0.035
-0.189,5.997,6.345,0.491,0.037,-0.084,0.036
-1.406,6.652,6.192,-0.085,-0.02,0.032,0.037
-2.091,4.229,6.188,-0.169,-0.041,0.096,0.038
-2.749,2.018,5.264,0.162,0.168,0.143,0.039
-3.581,2.634,4.22,-0.108,-0.11,0.09,0.04
-3.955,5.32,4.498,-0.05,0.08,0.041,0.042
-3.668,7.19,4.604,0.211,0.231,-0.002,0.042
-2.655,5.654,4.154,-0.012,0.076,0.098,0.043
-1.84,2.617,3.465,0.098,-0.031,-0.032,0.044
-1.743,1.809,3.376,0.114,0.173,0.219,0.045
-2.897,3.686,3.311,-0.023,-0.153,0.185,0.046
-4.892,5.532,2.846,0.148,-0.037,-0.067,0.047
-6.471,4.47,3.065,0.158,-0.05,-0.017,0.048
-6.986,0.882,3.469,0.078,0.003,0.032,0.049
-6.703,-0.925,3.508,0.08,-0.015,-0.318,0.05
-5.61,0.843,3.457,-0.093,0.19,0.075,0.05
-4.364,3.138,3.217,-0.062,0.164,0.301,0.051
-3.61,3.03,2.865,0.09,-0.009,-0.036,0.052
-3.256,0.671,2.598,0.02,-0.131,0.106,0.053
-3.1,-1.131,2.227,0.083,0.124,0.212,0.054
-3.571,-1.037,1.909,0.159,-0.092,-0.232,0.054
-3.924,0.222,1.554,0.015,-0.042,0.022,0.055
-3.387,1.018,1.309,0.101,0.171,0.155,0.056
-2.41,0.764,0.807,0.043,0.121,0.018,0.056
-1.381,-0.501,-0.108,-0.059,0.033,0.237,0.057
-0.226,-0.78,-0.942,0.305,0.124,0.071,0.058
0.053,0.124,-0.853,0.275,-0.123,-0.15,0.058
-0.769,0.981,-0.226,-0.062,-0.194,-0.016,0.059
-1.692,1.249,-0.04,0.281,0.03,-0.161,0.06
-1.903,0.438,0.15,-0.045,0.04,-0.009,0.06
-1.388,-1.123,0.733,-0.341,0.024,0.257,0.061
