force_x_N,force_y_N,force_z_N,vibration_x_g,vibration_y_g,vibration_z_g,ae_rms_V
-0.636,1.789,0.607,0.047,0.015,0.031,-0.004
-0.656,1.78,0.593,-0.037,-0.048,-0.038,-0.004
-0.689,1.771,0.61,-0.071,-0.064,-0.069,-0.004
-0.751,1.738,0.597,0.027,0.038,0.019,-0.004
-0.786,1.693,0.605,-0.055,-0.055,-0.061,-0.004
-0.796,1.596,0.623,0.022,0.018,0.013,-0.004
-0.777,1.498,0.666,0.008,-0.005,-0.012,-0.004
-0.766,1.373,0.683,0.034,0.029,0.017,-0.004
-0.693,1.297,0.77,0.015,-0.002,-0.012,-0.004
-0.665,1.234,0.803,-0.031,-0.047,-0.045,-0.004
-0.545,1.293,0.923,0.018,0.008,0.016,-0.004
-0.529,1.279,0.955,-0.034,-0.036,-0.025,-0.004
-0.534,1.309,0.953,-0.099,-0.097,-0.083,-0.004
-0.552,1.412,0.938,0.02,0.032,0.043,-0.004
-0.622,1.542,0.922,-0.046,-0.059,-0.046,-0.004
-0.705,1.659,0.882,-0.091,-0.11,-0.095,-0.004
-0.804,1.773,0.823,0.056,0.041,0.051,-0.004
-0.888,1.85,0.777,-0.052,-0.068,-0.068,-0.004
-0.963,1.883,0.746,0.009,-0.007,-0.01,-0.004
-1.018,1.882,0.752,0.026,0.021,0.012,-0.004
-1.071,1.903,0.775,-0.035,-0.032,-0.046,-0.004
-1.063,1.961,0.825,0.001,0.002,-0.006,-0.004
-1.043,1.977,0.852,-0.055,-0.049,-0.061,-0.004
-1.015,2.036,0.889,0.012,0.023,0.02,-0.004
-1.009,2.083,0.902,-0.039,-0.033,-0.026,-0.004
-1.027,2.11,0.918,-0.039,-0.054,-0.043,-0.004
-1.006,2.13,0.915,0.036,0.024,0.037,-0.004
-1.009,2.118,0.917,-0.069,-0.08,-0.066,-0.004
-1.013,2.161,0.892,-0.048,-0.064,-0.06,-0.004
-1.007,2.19,0.88,0.078,0.063,0.066,-0.004
-0.995,2.158,0.856,-0.079,-0.093,-0.083,-0.004
-0.944,2.11,0.883,-0.039,-0.048,-0.043,-0.004
-0.884,2.004,0.914,0.078,0.075,0.063,-0.004
-0.832,1.901,0.933,-0.149,-0.151,-0.164,-0.004
-0.75,1.766,0.959,0.017,0.01,0.011,-0.004
-0.638,1.643,0.984,0.041,0.036,0.036,-0.004
-0.554,1.484,1.028,-0.123,-0.123,-0.134,-0.004
-0.441,1.375,1.063,0.022,0.027,0.029,-0.004
-0.377,1.215,1.059,-0.057,-0.044,-0.046,-0.004
-0.34,1.073,1.027,-0.043,-0.039,-0.046,-0.004
-0.275,0.931,1.009,0.01,-0.007,-0,-0.004
-0.256,0.831,1.009,-0.029,-0.048,-0.041,-0.004
-0.216,0.744,0.994,0.027,0.013,0.012,-0.004
-0.17,0.669,1.01,-0.032,-0.054,-0.051,-0.004
-0.1,0.588,1.043,-0.026,-0.048,-0.045,-0.004
-0.032,0.511,1.075,0.043,0.031,0.029,-0.004
0.012,0.468,1.143,-0.132,-0.138,-0.135,-0.004
0.043,0.392,1.192,0.007,0.005,0.006,-0.004
0.052,0.292,1.219,-0.019,-0.005,-0.005,-0.004
0.065,0.232,1.273,-0.146,-0.133,-0.143,-0.004
0.098,0.287,1.365,0.026,0.033,0.02,-0.004
0.029,0.232,1.307,-0.056,-0.051,-0.066,-0.004
-0.036,0.204,1.26,-0.028,-0.033,-0.032,-0.004
-0.131,0.243,1.197,0.004,-0.012,-0.009,-0.004
-0.183,0.321,1.171,0.015,-0.004,0.007,-0.004
-0.221,0.416,1.139,-0.006,-0.005,-0.012,-0.004
-0.244,0.444,1.098,-0.028,-0.022,-0.031,-0.004
-0.245,0.414,1.032,0.028,0.034,0.025,-0.004
-0.204,0.396,1.039,-0.011,-0.006,-0.016,-0.004
-0.164,0.414,1.046,-0.084,-0.082,-0.093,-0.004
-0.136,0.393,1.058,0.062,0.063,0.063,-0.004
-0.07,0.371,1.068,-0.099,-0.092,-0.09,-0.004
-0.048,0.312,1.067,-0.076,-0.074,-0.075,-0.004
-0.024,0.308,1.058,0.003,0.013,0.011,-0.004
-0.023,0.349,1.024,-0.087,-0.076,-0.082,-0.004
-0.013,0.381,1.005,-0.055,-0.037,-0.047,-0.004
-0.03,0.411,0.967,0.01,0.022,0.011,-0.004
0.007,0.453,0.934,-0.03,-0.017,-0.034,-0.004
0.06,0.466,0.9,-0.043,-0.037,-0.047,-0.004
0.16,0.49,0.874,0.03,0.027,0.032,-0.004
0.289,0.456,0.849,0.006,-0.002,0,-0.004
0.425,0.435,0.801,-0.044,-0.036,-0.045,-0.004
0.586,0.362,0.785,0.001,0.01,0.004,-0.004
0.756,0.251,0.784,-0.032,-0.014,-0.019,-0.004
0.906,0.179,0.744,-0.112,-0.087,-0.093,-0.004
1.016,0.088,0.72,-0.015,-0.006,-0.006,-0.004
1.102,0.02,0.673,-0.053,-0.041,-0.038,-0.004
1.13,-0.027,0.634,-0.092,-0.078,-0.069,-0.004
1.161,-0.087,0.574,-0.017,-0.02,-0.009,-0.004
1.17,-0.103,0.567,-0.057,-0.064,-0.057,-0.004
1.125,-0.122,0.512,-0.06,-0.05,-0.053,-0.004
1.111,-0.11,0.524,-0.051,-0.037,-0.041,-0.004
1.098,-0.101,0.531,0.001,0.018,0.008,-0.004
1.082,-0.147,0.528,-0.071,-0.058,-0.064,-0.004
1.116,-0.162,0.572,-0.045,-0.044,-0.043,-0.004
1.107,-0.24,0.548,-0.01,-0.004,-0.007,-0.004
1.18,-0.2,0.62,-0.066,-0.059,-0.058,-0.004
1.154,-0.274,0.587,-0.051,-0.05,-0.038,-0.004
1.137,-0.305,0.565,-0.018,-0.019,-0.011,-0.004
1.087,-0.329,0.507,-0.048,-0.045,-0.034,-0.004
1.012,-0.334,0.418,-0.041,-0.031,-0.02,-0.004
0.908,-0.285,0.345,-0.094,-0.077,-0.074,-0.004
0.797,-0.209,0.267,-0.044,-0.045,-0.033,-0.004
0.695,-0.119,0.197,-0.018,-0.024,-0.009,-0.004
0.609,-0.014,0.145,0.004,-0.003,0.004,-0.004
0.554,0.112,0.128,-0.027,-0.027,-0.027,-0.004
0.505,0.275,0.103,0.036,0.038,0.046,-0.004
0.467,0.381,0.114,-0.028,-0.028,-0.024,-0.004
0.442,0.441,0.113,0.055,0.062,0.059,-0.004
0.461,0.446,0.108,-0.049,-0.023,-0.034,-0.004
0.469,0.451,0.11,-0.005,0.014,0.016,-0.004
0.497,0.485,0.107,0.008,0.009,0.029,-0.004
0.53,0.54,0.096,-0.05,-0.057,-0.041,-0.004
0.581,0.601,0.069,-0.013,-0.032,-0.017,-0.004
0.637,0.633,0.065,0.072,0.067,0.077,-0.004
0.706,0.649,0.056,-0.112,-0.111,-0.106,-0.004
0.759,0.7,0.041,0.055,0.052,0.05,-0.004
0.82,0.762,0.036,-0.004,-0.001,-0.006,-0.004
0.917,0.831,0.072,-0.121,-0.105,-0.119,-0.004
1.008,0.833,0.12,0.051,0.084,0.058,-0.004
1.118,0.791,0.183,-0.095,-0.061,-0.074,-0.004
1.22,0.775,0.245,-0.053,-0.042,-0.041,-0.004
1.34,0.785,0.295,0.075,0.068,0.082,-0.004
1.441,0.838,0.395,-0.086,-0.092,-0.07,-0.004
1.514,0.953,0.477,0.063,0.049,0.079,-0.004
1.556,1.085,0.54,0.014,-0.015,0.017,-0.004
1.583,1.145,0.576,0.033,-0.008,0.013,-0.004
1.611,1.167,0.613,0.081,0.061,0.053,-0.004
1.641,1.139,0.692,-0.061,-0.068,-0.08,-0.004
1.676,1.102,0.711,0.013,0.004,-0.008,-0.004
1.708,0.929,0.734,0.033,0.024,0.02,-0.004
1.787,0.8,0.821,-0.085,-0.102,-0.093,-0.004
1.801,0.675,0.897,0.072,0.057,0.069,-0.004
1.823,0.694,0.973,-0.057,-0.05,-0.052,-0.004
1.822,0.796,1.105,-0.052,-0.048,-0.042,-0.004
1.753,0.858,1.129,0.05,0.061,0.066,-0.004
1.702,1.059,1.218,-0.099,-0.082,-0.071,-0.003
1.639,1.33,1.229,0.019,0.027,0.044,-0.003
1.627,1.665,1.21,-0.028,-0.038,-0.014,-0.003
1.613,1.974,1.134,-0.041,-0.08,-0.056,-0.003
1.633,2.267,1.076,0.104,0.051,0.07,-0.003
1.697,2.538,1.02,-0.069,-0.12,-0.1,-0.003
1.768,2.847,0.968,-0.026,-0.067,-0.067,-0.003
1.815,3.078,0.911,0.031,0.018,0.007,-0.003
1.881,3.245,0.907,-0.151,-0.14,-0.143,-0.003
1.909,3.346,0.895,-0.037,-0.015,-0.025,-0.003
1.957,3.353,0.917,0.048,0.078,0.076,-0.003
1.924,3.244,0.935,-0.111,-0.088,-0.083,-0.003
1.91,3.15,0.972,0.035,0.046,0.051,-0.003
1.842,3.107,1.024,0.06,0.068,0.093,-0.003
1.772,3.127,1.027,-0.106,-0.119,-0.099,-0.003
1.714,3.03,1.004,0.116,0.081,0.097,-0.003
1.661,2.916,0.996,0.052,0.015,0.052,-0.003
1.608,2.885,0.946,-0.057,-0.094,-0.077,-0.003
1.609,2.981,0.877,0.045,0.011,0.017,-0.003
1.673,3.084,0.851,0.009,-0.004,0.004,-0.003
1.721,3.106,0.807,-0.079,-0.084,-0.086,-0.003
1.805,3.038,0.816,-0.06,-0.058,-0.055,-0.003
1.854,2.898,0.817,-0.001,0.021,0.029,-0.003
1.85,2.719,0.821,-0.098,-0.082,-0.078,-0.003
1.789,2.433,0.821,-0.094,-0.086,-0.069,-0.003
1.695,2.172,0.799,0.094,0.113,0.123,-0.003
1.553,1.994,0.735,-0.081,-0.07,-0.067,-0.003
1.417,1.849,0.678,-0.032,-0.04,-0.015,-0.003
1.271,1.765,0.579,0.144,0.117,0.139,-0.003
1.18,1.806,0.498,-0.042,-0.082,-0.074,-0.003
1.117,1.883,0.414,0.025,-0.019,0,-0.003
1.116,2.015,0.326,0.172,0.123,0.139,-0.003
1.214,2.145,0.327,-0.043,-0.08,-0.078,-0.003
1.363,2.21,0.379,-0.025,-0.045,-0.028,-0.003
1.425,2.14,0.396,0.002,-0.007,0.013,-0.003
1.542,2.033,0.455,-0.015,0,0.008,-0.003
1.594,1.819,0.493,-0.137,-0.112,-0.094,-0.003
1.621,1.578,0.513,0.006,0.014,0.03,-0.003
1.534,1.303,0.478,0.047,0.039,0.065,-0.003
1.434,1.18,0.468,-0.118,-0.128,-0.107,-0.003
1.245,1.183,0.373,0.049,0.034,0.034,-0.003
1.023,1.199,0.267,0.112,0.09,0.104,-0.003
0.861,1.303,0.149,-0.043,-0.067,-0.049,-0.003
0.738,1.384,-0.002,0.094,0.063,0.059,-0.003
0.746,1.524,-0.096,0.079,0.066,0.06,-0.003
0.828,1.664,-0.194,-0.047,-0.053,-0.054,-0.003
0.968,1.657,-0.236,0.021,0.021,0.01,-0.003
1.186,1.593,-0.221,0.078,0.087,0.076,-0.003
1.351,1.515,-0.214,-0.067,-0.057,-0.053,-0.003
1.504,1.384,-0.207,-0.039,-0.042,-0.014,-0.003
1.569,1.184,-0.176,0.031,0.032,0.063,-0.003
1.553,1.063,-0.171,-0.038,-0.044,-0.027,-0.003
1.463,0.967,-0.211,-0.07,-0.087,-0.072,-0.003
1.346,0.988,-0.27,0.128,0.13,0.134,-0.003
1.209,1.071,-0.337,-0.06,-0.059,-0.075,-0.003
1.079,1.171,-0.373,0.003,-0.018,-0.027,-0.003
0.976,1.267,-0.432,0.129,0.101,0.11,-0.003
0.931,1.337,-0.459,-0.032,-0.039,-0.046,-0.003
0.952,1.369,-0.464,0.037,0.042,0.022,-0.003
1.037,1.272,-0.427,0.066,0.074,0.062,-0.003
1.14,1.1,-0.362,0.004,0.024,0.005,-0.003
1.24,0.892,-0.313,-0.038,-0.01,-0.028,-0.003
1.314,0.672,-0.215,-0.006,0.007,0.014,-0.003
1.354,0.426,-0.139,0.077,0.086,0.101,-0.003
1.277,0.174,-0.077,-0.077,-0.071,-0.058,-0.003
1.13,0.031,-0.048,0.053,0.041,0.052,-0.003
0.931,0.011,-0.034,0.112,0.083,0.091,-0.003
0.692,0.038,-0.001,-0.099,-0.106,-0.11,-0.003
0.427,0.076,0.043,0.074,0.068,0.06,-0.003
0.274,0.167,0.168,0.11,0.1,0.087,-0.003
0.156,0.248,0.251,-0.089,-0.084,-0.095,-0.003
0.046,0.239,0.29,-0.023,0.001,-0.014,-0.003
0.061,0.226,0.406,0.015,0.038,0.014,-0.003
0.066,0.079,0.508,-0.034,-0.01,-0.027,-0.003
0.123,-0.108,0.611,-0.018,-0.003,-0.007,-0.003
0.191,-0.336,0.697,0.007,0.015,0.018,-0.003
0.273,-0.562,0.754,-0.019,-0.004,-0.015,-0.003
0.342,-0.795,0.828,-0.058,-0.043,-0.054,-0.003
0.388,-0.994,0.878,0.078,0.091,0.084,-0.003
0.402,-1.178,0.917,0.024,0.037,0.032,-0.003
0.389,-1.253,1.002,-0.04,-0.048,-0.045,-0.003
0.382,-1.301,1.085,0.123,0.113,0.132,-0.003
0.359,-1.238,1.207,0.037,0.046,0.06,-0.003
0.362,-1.111,1.379,-0.04,-0.037,-0.044,-0.003
0.343,-1.011,1.53,0.062,0.06,0.059,-0.003
0.366,-0.944,1.73,0.051,0.059,0.061,-0.003
0.365,-0.949,1.878,-0.082,-0.076,-0.08,-0.003
0.392,-1.008,1.979,0.085,0.102,0.091,-0.003
0.426,-1.154,2.099,0.027,0.039,0.044,-0.003
0.464,-1.38,2.121,-0.1,-0.095,-0.092,-0.003
0.522,-1.641,2.163,0.092,0.105,0.096,-0.003
0.556,-1.876,2.218,0.029,0.019,0.021,-0.003
0.574,-1.976,2.194,-0.029,-0.033,-0.028,-0.003
0.568,-1.952,2.176,0.095,0.093,0.102,-0.003
0.54,-1.849,2.173,0.027,0.012,0.027,-0.003
0.496,-1.701,2.197,-0.001,0.005,0.017,-0.003
0.44,-1.492,2.244,-0.026,-0.008,0.003,-0.003
0.349,-1.251,2.266,0.029,0.036,0.041,-0.003
0.267,-0.988,2.272,0.022,0.032,0.04,-0.003
0.177,-0.747,2.243,-0.075,-0.062,-0.057,-0.003
0.042,-0.686,2.183,0.085,0.09,0.095,-0.003
-0.043,-0.689,2.13,-0.028,-0.027,-0.015,-0.003
-0.155,-0.782,1.993,-0.112,-0.121,-0.114,-0.003
-0.191,-0.771,1.96,0.169,0.158,0.171,-0.003
-0.269,-0.762,1.854,-0.061,-0.056,-0.055,-0.003
-0.322,-0.689,1.746,-0.074,-0.069,-0.074,-0.003
-0.303,-0.665,1.657,0.122,0.131,0.14,-0.003
-0.274,-0.665,1.612,-0.13,-0.113,-0.112,-0.003
-0.245,-0.584,1.596,-0.012,0.003,-0.015,-0.003
-0.239,-0.454,1.599,0.042,0.052,0.06,-0.003
-0.253,-0.304,1.594,-0.051,-0.041,-0.025,-0.003
-0.272,-0.282,1.563,-0.002,-0.014,0.004,-0.003
-0.343,-0.362,1.535,-0.04,-0.054,-0.032,-0.003
-0.46,-0.443,1.449,0.037,0.037,0.045,-0.003
-0.574,-0.535,1.345,-0.101,-0.09,-0.086,-0.003
-0.64,-0.635,1.245,-0.01,-0.007,-0.006,-0.003
-0.705,-0.743,1.145,0.079,0.074,0.07,-0.003
-0.735,-0.883,1.048,-0.116,-0.124,-0.11,-0.003
-0.744,-1,0.958,-0.033,-0.03,-0.016,-0.003
-0.677,-1.081,0.86,0.094,0.095,0.094,-0.003
-0.601,-1.127,0.806,-0.176,-0.171,-0.172,-0.003
-0.546,-1.134,0.777,-0.001,0.023,0.01,-0.003
-0.429,-1.092,0.729,0.014,0.038,0.015,-0.003
-0.36,-1.127,0.705,-0.144,-0.128,-0.135,-0.003
-0.307,-1.16,0.668,-0.037,-0.03,-0.022,-0.003
-0.29,-1.167,0.626,0.038,0.03,0.039,-0.003
-0.305,-1.174,0.607,-0.125,-0.145,-0.127,-0.003
-0.347,-1.218,0.544,-0.046,-0.06,-0.058,-0.003
-0.4,-1.351,0.479,0.029,0.014,0.008,-0.003
-0.437,-1.504,0.451,-0.091,-0.109,-0.095,-0.003
-0.471,-1.587,0.397,-0.051,-0.067,-0.068,-0.003
-0.476,-1.67,0.356,-0.006,-0.003,-0.011,-0.003
-0.461,-1.705,0.304,-0.103,-0.091,-0.086,-0.003
-0.444,-1.693,0.242,-0.11,-0.099,-0.103,-0.003
-0.432,-1.689,0.179,-0.031,-0.025,-0.028,-0.003
-0.404,-1.605,0.128,-0.049,-0.041,-0.041,-0.003
-0.4,-1.435,0.018,-0.153,-0.143,-0.159,-0.003
-0.431,-1.284,-0.076,-0.05,-0.036,-0.048,-0.003
-0.492,-1.085,-0.198,-0.024,-0.011,-0.022,-0.003
-0.55,-0.919,-0.303,-0.188,-0.19,-0.204,-0.003
-0.57,-0.74,-0.399,-0.011,-0.02,-0.018,-0.003
-0.578,-0.496,-0.466,-0.028,-0.027,-0.035,-0.003
-0.615,-0.375,-0.576,-0.171,-0.174,-0.184,-0.003
-0.622,-0.247,-0.616,-0.014,-0.018,-0.019,-0.003
-0.608,-0.136,-0.662,-0.043,-0.047,-0.051,-0.003
-0.562,-0.031,-0.674,0.074,0.079,0.071,-0.003
-0.51,0.132,-0.64,0.086,0.1,0.102,-0.004
-0.488,0.303,-0.634,-0.075,-0.06,-0.059,-0.003
-0.456,0.519,-0.638,0.058,0.073,0.073,-0.004
-0.425,0.737,-0.671,-0.054,-0.045,-0.042,-0.003
-0.427,0.922,-0.696,-0.016,-0.002,-0.016,-0.003
-0.45,1.037,-0.734,0.04,0.065,0.047,-0.003
-0.483,1.137,-0.77,-0.065,-0.046,-0.063,-0.003
-0.507,1.163,-0.838,0.037,0.046,0.019,-0.003
-0.434,1.205,-0.801,0.058,0.067,0.049,-0.004
-0.466,1.041,-0.848,-0.027,-0.025,-0.029,-0.004
-0.374,0.964,-0.78,0.094,0.105,0.085,-0.003
-0.351,0.809,-0.736,-0.078,-0.07,-0.077,-0.003
-0.317,0.714,-0.647,-0.087,-0.083,-0.077,-0.003
-0.278,0.677,-0.533,0.127,0.138,0.129,-0.004
-0.326,0.634,-0.48,-0.088,-0.073,-0.073,-0.004
-0.357,0.675,-0.386,-0.063,-0.053,-0.04,-0.003
-0.501,0.661,-0.365,-0.049,-0.044,-0.037,-0.003
-0.608,0.67,-0.309,-0.056,-0.059,-0.055,-0.003
-0.802,0.677,-0.268,0.022,0.021,0.015,-0.003
-0.952,0.696,-0.226,0.017,0.019,0.014,-0.004
-1.109,0.659,-0.2,-0.034,-0.031,-0.037,-0.004
-1.201,0.589,-0.127,0.126,0.117,0.101,-0.004
-1.308,0.442,-0.054,-0.008,-0.015,-0.023,-0.003
-1.342,0.305,0.037,0.021,0.029,0.02,-0.003
-1.358,0.196,0.141,0.043,0.052,0.033,-0.004
-1.362,0.091,0.271,-0.054,-0.062,-0.059,-0.003
-1.349,0.034,0.413,0.142,0.134,0.151,-0.004
-1.324,-0.014,0.524,0.061,0.048,0.063,-0.004
-1.335,0.017,0.611,-0.02,-0.035,-0.016,-0.004
-1.378,0.009,0.667,0.15,0.141,0.16,-0.004
-1.409,0.075,0.777,0.062,0.05,0.062,-0.004
-1.448,0.128,0.837,-0.052,-0.064,-0.055,-0.003
-1.545,0.149,0.845,0.165,0.144,0.155,-0.004
-1.542,0.206,0.898,0.029,0.012,0.02,-0.004
-1.53,0.216,0.928,0.009,-0.007,0.005,-0.004
-1.495,0.205,1.006,0.146,0.137,0.131,-0.004
-1.408,0.199,1.073,-0.008,-0.016,-0.022,-0.004
-1.299,0.149,1.11,0.003,0.007,0.011,-0.004
-1.118,0.107,1.161,0.043,0.05,0.043,-0.004
-0.954,0.138,1.235,0.099,0.103,0.094,-0.004
-0.843,0.132,1.254,-0.083,-0.079,-0.07,-0.004
-0.719,0.148,1.283,0.121,0.116,0.128,-0.004
-0.643,0.18,1.24,0.134,0.123,0.134,-0.004
-0.573,0.229,1.214,-0.06,-0.074,-0.061,-0.003
-0.555,0.307,1.187,0.087,0.069,0.083,-0.003
-0.513,0.39,1.154,0.22,0.201,0.217,-0.004
-0.489,0.434,1.116,-0.108,-0.127,-0.119,-0.004
-0.422,0.48,1.156,0.094,0.07,0.079,-0.004
-0.356,0.501,1.164,0.194,0.188,0.192,-0.004
-0.303,0.546,1.178,-0.165,-0.154,-0.166,-0.004
-0.249,0.53,1.201,0.089,0.099,0.095,-0.004
-0.187,0.509,1.221,0.153,0.157,0.158,-0.004
-0.131,0.454,1.235,-0.136,-0.13,-0.143,-0.004
-0.108,0.368,1.192,0.071,0.075,0.064,-0.004
-0.091,0.301,1.14,0.128,0.135,0.131,-0.004
-0.085,0.242,1.086,-0.004,-0.003,-0.002,-0.004
-0.079,0.199,1.018,0.037,0.034,0.041,-0.004
-0.098,0.172,0.953,0.134,0.128,0.134,-0.004
-0.114,0.132,0.926,0.059,0.056,0.058,-0.004
-0.112,0.053,0.864,-0.011,-0.019,-0.015,-0.004
-0.117,-0.017,0.842,0.137,0.123,0.122,-0.004
-0.093,-0.076,0.796,0.157,0.144,0.135,-0.004
-0.072,-0.149,0.797,-0.152,-0.156,-0.154,-0.004
-0.052,-0.247,0.794,0.175,0.177,0.177,-0.004
-0.041,-0.38,0.754,0.108,0.12,0.112,-0.004
-0.03,-0.451,0.748,-0.204,-0.194,-0.204,-0.003
-0.021,-0.529,0.7,0.232,0.25,0.231,-0.004
0.008,-0.604,0.661,0.05,0.069,0.05,-0.004
0.046,-0.672,0.62,-0.132,-0.115,-0.124,-0.004
0.035,-0.778,0.554,0.202,0.197,0.195,-0.004
0.106,-0.738,0.582,0.067,0.064,0.06,-0.004
0.192,-0.707,0.605,-0.025,-0.02,-0.029,-0.004
0.211,-0.844,0.563,0.102,0.114,0.097,-0.004
0.306,-0.941,0.585,0.131,0.127,0.121,-0.004
0.36,-1.064,0.582,-0.021,-0.023,-0.035,-0.004
0.459,-1.125,0.632,0.013,0.019,0.005,-0.004
0.515,-1.163,0.636,0.158,0.168,0.163,-0.004
0.569,-1.234,0.674,-0.062,-0.046,-0.053,-0.004
0.591,-1.301,0.696,-0.023,-0.001,-0.012,-0.004
0.593,-1.351,0.698,0.199,0.206,0.207,-0.004
0.577,-1.359,0.716,-0.062,-0.054,-0.061,-0.004
0.556,-1.37,0.728,-0.001,0.011,0.001,-0.004
0.522,-1.356,0.746,0.193,0.202,0.192,-0.004
0.477,-1.32,0.751,-0.01,-0.003,-0.017,-0.004
0.479,-1.264,0.776,0.009,0.018,0.008,-0.004
0.48,-1.23,0.796,0.148,0.159,0.148,-0.004
0.503,-1.205,0.825,0.052,0.065,0.051,-0.004
0.527,-1.163,0.862,-0.081,-0.069,-0.084,-0.004
0.572,-1.151,0.898,0.146,0.146,0.146,-0.004
0.606,-1.116,0.94,0.062,0.071,0.062,-0.004
0.635,-1.071,0.949,-0.103,-0.094,-0.101,-0.004
0.626,-1.006,0.962,0.112,0.124,0.13,-0.004
0.597,-0.975,0.981,0.07,0.086,0.091,-0.004
0.57,-0.949,0.947,-0.11,-0.101,-0.093,-0.004
